userid,dateofbirthid,geoid,gender
80306,01052004,58,1
92580,01032004,63,2
83730,01082004,32,2
22394,01022004,15,1
69767,01122004,42,1
69212,01082003,51,2
81805,01012004,49,1
11766,01072004,53,2
105253,01092003,49,2
50480,01032006,14,1
71676,01052004,53,1
17844,01042004,22,1
37865,01032004,60,2
57270,01072005,25,2
80743,01112005,14,2
5442,01032006,30,1
52018,01012004,35,1
1363,01032007,66,1
77601,01092006,44,1
19204,01022007,69,1
78692,01122005,34,1
76589,01092006,66,1
13781,01082007,52,1
82481,01112006,10,1
54600,01052004,57,2
31242,01052007,34,1
116192,01032007,67,1
54492,01082004,39,2
40396,01032007,68,1
89285,01052006,26,1
63175,01022006,2,1
113794,01012007,22,1
87770,01092005,53,1
107507,01072006,51,1
18140,01032007,3,1
94417,01122008,29,2
35769,01062009,1,1
72261,01102008,22,2
69103,01092006,53,1
70474,01092005,4,2
109349,01122006,44,2
103373,01112005,28,2
31413,01092007,70,1
89897,01102007,5,1
10393,01102006,32,1
40267,01082006,29,1
55411,01052006,40,1
27254,01082007,10,2
55471,01102006,37,1
18381,01052007,35,1
32953,01012006,6,2
13574,01052007,29,1
88974,01022008,14,1
49156,01052006,3,2
33551,01032008,22,2
72830,01072006,51,1
55828,01072009,17,1
102461,01102006,40,2
79262,01062007,6,1
16697,01122005,68,2
105501,01072007,28,2
72663,01082007,26,1
49419,01082006,23,1
65896,01082007,64,1
98674,01022006,14,1
79492,01112005,53,2
63210,01082007,63,2
54523,01022006,13,2
77438,01032007,32,2
72633,01012007,16,1
39369,01022006,74,2
48128,01092007,25,2
53920,01012009,25,2
51701,01022007,14,1
36936,01072007,21,2
105010,01072008,25,2
56478,01082007,5,2
59520,01092006,36,2
22553,01032007,56,1
99162,01012006,58,2
73392,01102005,33,1
49537,01122005,63,2
83932,01082006,10,2
20540,01072006,19,1
54786,01092006,34,2
38416,01032009,11,2
43394,01092005,66,1
39628,01112005,5,1
84928,01012006,42,2
76870,01032006,55,2
43383,01092006,61,1
65637,01032007,51,1
38975,01062006,58,1
29358,01062007,21,1
8141,01012007,11,2
64742,01122007,36,1
29309,01022007,33,1
116864,01042007,60,2
110965,01032006,13,2
101594,01032007,57,2
99160,01022006,26,2
39218,01052007,8,1
90565,01072006,11,1
75581,01032007,20,2
110496,01082006,70,1
71065,01082007,10,1
42651,01072007,31,1
52088,01082006,50,1
6203,01062007,64,1
13446,01122006,65,2
73859,01082007,14,2
8312,01022006,4,2
117841,01092006,48,2
113240,01062009,30,1
70807,01092006,49,2
101675,01102005,1,1
30436,01032007,21,2
114882,01032007,40,2
51918,01052006,5,1
45325,01082007,21,1
82708,01092005,28,1
46412,01052006,69,2
68826,01072008,2,1
82631,01052006,20,2
38472,01012004,73,1
84887,01092006,74,2
89333,01042006,8,1
105386,01122005,64,1
47824,01052006,22,1
51248,01062007,50,2
33171,01042007,64,1
1333,01062006,17,2
66357,01062006,55,1
1677,01072006,58,1
104508,01042006,69,1
64393,01102006,13,2
90312,01082007,51,1
28732,01122006,4,2
96514,01092006,34,2
75777,01072007,35,2
78460,01012007,73,1
35722,01102005,16,2
10499,01092005,58,2
68342,01082006,48,1
113495,01012007,51,2
72523,01102005,35,1
9581,01042006,21,2
29180,01122005,26,2
23272,01072007,23,1
20971,01042007,13,2
9169,01022006,74,2
79690,01012007,34,2
67442,01082007,23,1
96835,01042006,9,1
89633,01102005,37,1
24738,01092003,76,1
68859,01042004,14,2
63066,01092003,31,2
68577,01012004,34,2
100183,01122003,43,2
113427,01012003,14,1
40042,01092002,31,2
84019,01032003,26,1
47418,01102003,30,2
74580,01092003,7,2
6321,01022004,41,1
27760,01102003,55,2
43140,01062004,42,1
33361,01092003,49,1
57595,01052004,55,2
36431,01042004,46,1
970,01072004,41,1
10305,01012004,55,2
16624,01102003,40,2
77289,01062004,36,2
91810,01082004,30,2
76527,01102003,14,2
58522,01022004,20,2
107388,01052004,3,2
62881,01052003,32,1
73338,01052003,64,1
97240,01122003,67,1
76283,01092003,10,2
102402,01082004,66,2
65352,01092003,13,2
425,01042004,62,2
20155,01042003,42,2
87223,01012004,66,1
8981,01122002,51,2
61052,01092003,48,1
7656,01072004,70,2
111964,01092003,69,2
24803,01082004,64,1
54547,01102005,3,1
8356,01082004,28,2
28023,01032007,3,1
38856,01102005,67,2
96521,01102004,43,2
109509,01022004,17,2
87604,01022007,34,1
5240,01052006,67,1
45639,01062005,32,2
35529,01012006,29,1
28679,01022005,34,2
35403,01012006,18,2
30917,01062006,52,2
17744,01052006,25,1
117110,01012004,27,2
99658,01012005,69,2
89423,01122005,13,1
9538,01112005,25,2
55172,01072005,70,2
9787,01082005,70,2
34921,01022008,25,1
86960,01082005,10,1
79560,01022008,30,2
37942,01062004,17,2
21903,01062005,73,1
98087,01032008,54,1
59935,01042005,35,2
2027,01082004,65,2
26950,01022008,72,2
52298,01062004,63,2
88073,01082004,49,1
87853,01072006,63,1
73386,01042008,14,1
90505,01042005,65,2
46596,01092005,17,1
1580,01062008,47,1
24600,01112003,15,2
117858,01022008,8,1
25881,01062007,58,1
90466,01072005,33,1
89751,01122003,47,1
100515,01122005,26,2
101026,01102003,44,2
12791,01112007,39,1
43013,01052005,29,2
74311,01052005,33,2
78431,01102005,9,2
95119,01072005,12,1
23215,01032005,10,2
99614,01092003,32,1
13264,01092007,76,1
104163,01012004,33,1
38721,01082007,34,2
95616,01122007,1,2
44070,01072005,4,1
12620,01052004,33,2
71933,01072006,7,2
63278,01032005,43,1
97425,01032006,25,2
117873,01062005,30,2
79493,01052004,15,2
32875,01102005,17,2
45635,01102007,58,1
36663,01052006,17,1
76389,01032008,46,2
41162,01072005,13,1
72805,01112004,26,2
56994,01082005,43,1
96907,01122005,24,2
13111,01092004,46,2
48504,01092006,14,1
45545,01022006,22,2
75015,01032008,40,2
37492,01092004,41,1
1860,01022008,52,1
4379,01092003,33,1
72190,01042005,5,2
106569,01022004,38,1
50987,01052004,51,1
12881,01052004,69,1
10104,01052006,57,1
23772,01042004,43,1
73733,01092003,29,2
80940,01122003,61,1
100947,01112008,28,2
28720,01082006,62,1
39435,01042007,69,2
55264,01032006,46,2
35536,01112006,10,2
93982,01072009,54,2
39746,01062008,3,2
59636,01062009,28,1
85309,01092008,11,2
102212,01112006,52,1
82234,01032007,33,1
55829,01092008,38,1
19441,01072007,14,1
45808,01052007,49,2
53262,01072006,21,1
79393,01062006,12,1
50635,01062009,23,1
104726,01122005,44,2
79075,01082006,24,1
68479,01042007,39,2
49925,01102005,73,2
41004,01122005,67,2
38596,01022007,26,1
41262,01082006,31,1
5219,01102008,54,1
99292,01122006,51,1
52869,01112007,41,1
111177,01102005,66,1
71515,01032007,6,2
26775,01052007,40,1
23935,01122006,31,1
14074,01012009,29,1
88590,01042006,50,2
76409,01032006,10,1
8781,01072009,62,1
66372,01112005,23,1
58217,01022007,23,1
95524,01042006,68,2
6669,01082007,52,1
56906,01022008,49,2
69241,01062006,70,1
51393,01022007,18,2
87895,01072008,46,2
114390,01092005,42,2
54527,01052007,38,1
88079,01082006,71,1
57353,01062008,49,2
41651,01062006,29,1
98323,01122005,59,1
86840,01032007,30,2
26008,01102007,51,1
17522,01112006,18,2
99886,01112007,68,2
87922,01072007,32,2
3716,01112006,27,2
8473,01092005,69,2
4136,01072009,10,1
103026,01032007,10,2
13939,01072009,23,2
22717,01032009,12,2
29489,01122007,15,1
86591,01072009,63,2
46558,01052006,34,2
52274,01092005,43,2
75730,01012008,26,1
96090,01092005,31,2
83172,01062006,14,1
45569,01092008,35,1
12152,01072007,15,1
1754,01102007,40,2
93983,01062006,40,1
110612,01012007,11,2
64994,01052008,6,1
116766,01012008,15,2
88000,01122005,26,1
58414,01122007,73,2
25834,01102006,24,1
80185,01042008,10,1
57945,01072006,16,1
82610,01092005,29,1
28460,01042005,10,1
31944,01062006,21,1
22377,01082006,39,2
66150,01032005,11,2
97076,01032005,52,1
75386,01062006,14,1
5074,01092004,1,1
80630,01102005,5,1
48023,01102004,5,1
79696,01102004,29,2
89653,01082005,38,2
54866,01102005,46,2
73679,01112004,37,2
66153,01102005,28,1
78028,01072006,55,1
14611,01092005,1,1
62115,01082006,37,1
29512,01082005,16,1
30453,01092005,38,2
29670,01022006,48,2
111488,01072004,25,2
21097,01102005,67,1
85886,01082006,13,2
79249,01062006,25,2
10211,01032005,15,1
21023,01052006,69,1
36103,01032005,23,1
32578,01092004,36,2
68445,01032006,32,2
57489,01082006,26,2
26222,01112004,10,1
92126,01092004,30,1
59698,01102005,15,2
21137,01122004,59,2
80225,01012005,25,2
46301,01112005,55,2
17014,01072006,45,1
116685,01022005,38,2
70372,01112005,14,1
21653,01112005,40,2
103312,01062006,22,1
79473,01042006,64,2
115933,01062005,31,1
74306,01012006,15,2
53061,01112005,51,1
49162,01022006,60,1
11823,01102005,14,1
5663,01042006,74,2
13750,01082005,58,1
95112,01072005,16,1
43599,01072006,8,1
71113,01092004,58,1
48916,01082006,8,1
32036,01122006,32,1
10400,01102006,14,1
91668,01122006,4,1
100580,01072005,47,1
104427,01032007,10,1
97049,01092005,55,1
118068,01032007,33,1
28341,01072007,10,1
1267,01082006,6,1
4499,01052006,19,2
62586,01072006,24,1
19655,01012006,69,1
45763,01052009,44,1
97059,01022009,64,1
51418,01012006,12,2
100381,01062009,37,1
47210,01092008,69,2
11570,01022006,17,1
28073,01082008,69,1
43214,01092006,22,2
105438,01082008,30,2
18855,01062006,13,1
32136,01082009,25,2
102417,01012007,13,1
26302,01042006,44,1
24772,01062009,72,1
68106,01052007,15,2
92940,01032006,71,2
12663,01112007,12,1
12536,01042004,35,1
61680,01122003,3,1
88916,01042003,56,2
90418,01052006,63,2
81913,01122002,9,2
84532,01102003,58,1
112520,01112002,37,1
57880,01042004,74,1
115469,01122003,68,2
108493,01122005,55,1
29530,01122002,67,1
112237,01062004,35,1
90026,01052004,15,2
95891,01012003,53,2
26586,01092004,17,2
50563,01042003,16,1
117296,01072004,40,2
98040,01102002,29,1
26585,01102002,60,1
7641,01032004,43,2
31293,01052003,20,1
6252,01092003,15,2
14072,01062004,28,2
3852,01012004,21,2
117872,01032004,69,2
38948,01032004,6,1
72467,01042005,26,2
90009,01082005,22,1
27815,01102003,41,2
86636,01042004,43,2
32970,01042004,64,1
59497,01062004,58,2
66109,01072004,10,1
2802,01042004,25,2
82752,01072004,44,1
63651,01062004,13,1
35178,01022004,22,2
105080,01012004,36,1
11746,01012004,17,2
91827,01032004,44,2
7874,01112003,36,2
110644,01042003,18,1
36449,01032003,64,1
80367,01122002,72,1
51866,01112003,58,2
76900,01122002,53,1
78833,01102003,62,2
34391,01122003,10,1
46275,01072004,25,2
1216,01022004,29,2
107757,01032003,26,2
79509,01062004,11,1
84481,01012004,33,1
106631,01092002,32,1
79157,01102003,53,1
75995,01052004,24,1
95940,01072004,14,2
98185,01022004,58,2
46836,01052005,49,1
53175,01072004,10,1
12937,01052003,10,2
10520,01022004,49,1
83848,01122004,35,1
71578,01072004,43,2
35659,01072004,60,1
116075,01102002,10,1
41586,01072004,52,1
78756,01092003,69,2
43760,01032004,73,1
58415,01122003,76,2
96272,01092002,15,2
22605,01062004,22,2
113728,01042004,24,2
100872,01012004,60,1
26414,01042004,30,2
64893,01022004,72,2
85811,01062004,34,2
617,01092003,15,2
106967,01022004,15,1
45810,01112002,69,2
1215,01032004,55,1
111158,01052003,53,2
92035,01122003,44,1
110940,01022004,70,1
2801,01022003,32,2
24966,01052006,74,2
10836,01122002,69,2
10151,01052004,32,2
116330,01072003,69,2
66743,01012003,60,1
46040,01052003,41,2
76405,01062005,5,1
47988,01092003,1,2
115765,01122002,71,1
18299,01112003,27,1
14889,01062003,22,1
97248,01042004,25,2
99134,01112002,47,1
25607,01122003,44,2
91052,01052004,24,2
75155,01032003,51,1
36983,01062004,70,2
69003,01042003,27,1
81842,01052004,71,1
49469,01112003,14,1
4296,01022005,39,1
98914,01082004,15,2
68722,01032004,27,1
71916,01042004,19,2
35819,01082006,38,2
68400,01082003,21,2
13017,01072004,35,1
68185,01012004,5,1
77990,01072004,12,2
52690,01062004,5,1
12086,01092003,26,2
86391,01092004,25,2
82284,01032006,22,2
3314,01062004,22,1
96457,01082005,58,2
110404,01042004,25,2
110326,01102004,14,1
101303,01042004,27,2
17061,01092006,43,1
87716,01042007,48,1
18599,01052008,62,2
3213,01052008,12,2
74094,01082006,36,1
6912,01082008,8,2
97311,01012007,3,2
84795,01042007,29,1
98631,01112005,68,2
106431,01062007,43,2
2089,01022007,76,1
52092,01072006,53,2
86865,01072007,17,2
61681,01092005,12,2
82128,01122003,47,2
